k,t,Bus_IMU.imu_gyro.1,Bus_IMU.imu_gyro.2,Bus_IMU.imu_gyro.3,Bus_IMU.imu_acc.1,Bus_IMU.imu_acc.2,Bus_IMU.imu_acc.3,Bus_Cmd.F_des.1,Bus_Cmd.q_des.1,Bus_Cmd.q_des.2,Bus_Cmd.q_des.3,Bus_Cmd.q_des.4,Bus_Cmd.q_ref.1,Bus_Cmd.q_ref.2,Bus_Cmd.q_ref.3,Bus_Cmd.q_ref.4,Bus_Cmd.Omega_ref.1,Bus_Cmd.Omega_ref.2,Bus_Cmd.Omega_ref.3,Bus_Cmd.tau_ref.1,Bus_Cmd.tau_ref.2,Bus_Cmd.tau_ref.3,Bus_Cmd.q_ext.1,Bus_Cmd.q_ext.2,Bus_Cmd.q_ext.3,Bus_Cmd.q_ext.4,Bus_Cmd.estop.1,Bus_Cmd.ack.1,batt_count.1,btn_ack.1,rotor_cmd.1,rotor_cmd.2,rotor_cmd.3,rotor_cmd.4,led.1,throttle.1,throttle.2,throttle.3,throttle.4
1135,1.135,0.0059252678304739514,-0.17396714596921661,-0.0040454094951098418,0.51827774618339084,-0.39674390105742563,1.4957496090294942,10.290841395306254,0.99980658436427117,-0.01245393548078068,-0.015221476698731942,0,1,0,0,0,0,0,0,0,0,0,0.9997797713233646,-0.013837706089756312,-0.015221476698731942,0.0041513118269268937,0,0,944,0,1319.6796430107224,1293.6443005763979,1334.2606108014431,1311.2630757168231,0,51.481909898930454,50.26812700822849,52.165166820951349,51.088652317818109
1136,1.1360000000000001,0.0022346813492301887,-0.17368823699735567,-0.0071417932566275877,0.25578725585320061,-0.55701856703972874,1.3793200370466447,10.290841395306254,0.99980658436427117,-0.01245393548078068,-0.015221476698731942,0,1,0,0,0,0,0,0,0,0,0,0.9997797713233646,-0.013837706089756312,-0.015221476698731942,0.0041513118269268937,0,0,944,0,1316.8440116949637,1295.2828139819926,1334.4439473041991,1312.3093385457873,0,51.349318183623645,50.344274484033534,52.173767755973238,51.13748685176455
1137,1.137,0.0056503723510869797,-0.1669194988342543,-0.0080589160048997188,0.3150933339841524,-0.42551141472252396,1.3607755852858767,10.290841395306254,0.99980658436427117,-0.01245393548078068,-0.015221476698731942,0,1,0,0,0,0,0,0,0,0,0,0.9997797713233646,-0.013837706089756312,-0.015221476698731942,0.0041513118269268937,0,0,944,0,1316.7413392161877,1295.4212511954179,1334.3951599845823,1312.3253226336326,0,51.344513406293714,50.350704311066579,52.171471346141722,51.13822723645567
1138,1.1380000000000001,0.0070991260370328046,-0.16195658336317023,-0.0095719020215198625,0.2883451140738672,-0.37508489007000656,1.315314068512101,10.290841395306254,0.99980658436427117,-0.01245393548078068,-0.015221476698731942,0,1,0,0,0,0,0,0,0,0,0,0.9997797713233646,-0.013837706089756312,-0.015221476698731942,0.0041513118269268937,0,0,944,0,1315.9570544050202,1295.9498685413666,1334.2901116100097,1312.6968557569999,0,51.307854388212348,50.375274771428614,52.166533796474148,51.15556808048531
1139,1.139,0.0091461598173185055,-0.15985857317176907,-0.0078915810352103433,0.29099329805261143,-0.45316483126275486,1.4133019896797552,10.290841395306254,0.99980658436427117,-0.01245393548078068,-0.015221476698731942,0,1,0,0,0,0,0,0,0,0,0,0.9997797713233646,-0.013837706089756312,-0.015221476698731942,0.0041513118269268937,0,0,944,0,1316.8391656108606,1294.2636796612387,1336.261332876865,1311.4701512220836,0,51.34907418001994,50.296887257561679,52.25909095350049,51.098294429243566
1140,1.1400000000000001,0.010123075115435393,-0.15479847698160695,-0.0046256850531997129,0.24809060143283485,-0.39752037969748083,1.5824310807442914,10.290841395306254,0.99980658436427117,-0.01245393548078068,-0.015221476698731942,0,1,0,0,0,0,0,0,0,0,0,0.9997797713233646,-0.013837706089756312,-0.015221476698731942,0.0041513118269268937,0,0,944,0,1319.0083796338777,1292.0290395300844,1338.806078777927,1308.8958349536986,0,51.450485835424033,50.19305681129817,52.378646853626968,50.978166041193141
1141,1.141,0.012141558806005398,-0.15033922129850122,-0.0093017022873417565,0.25463415614314278,-0.36814142661861848,1.394277566178874,10.290841395306254,0.99980658436427117,-0.01245393548078068,-0.015221476698731942,0,1,0,0,0,0,0,0,0,0,0,0.9997797713233646,-0.013837706089756312,-0.015221476698731942,0.0041513118269268937,0,0,944,0,1316.4889287783355,1294.4266208279298,1336.6748450885725,1311.2395471723642,0,51.332693356520878,50.304448911462813,52.278502546344349,51.087519488953021
1142,1.1420000000000001,0.016725500697930856,-0.1472194042634313,-0.010037091868686815,0.37916211677732647,-0.39802794484099469,1.3831386749513928,10.290841395306254,0.99980658436427117,-0.01245393548078068,-0.015221476698731942,0,1,0,0,0,0,0,0,0,0,0,0.9997797713233646,-0.013837706089756312,-0.015221476698731942,0.0041513118269268937,0,0,944,0,1316.3147030933185,1293.9892995990106,1336.7691278200516,1311.7498853501447,0,51.324545294371468,50.284119342186784,52.282925697209684,51.111335175609256
1143,1.143,0.015403446953869637,-0.15110147791853965,-0.010101548613755673,0.24073941703902874,-0.74160079436394022,1.4019836770571037,10.290841395306254,0.99980658436427117,-0.01245393548078068,-0.015221476698731942,0,1,0,0,0,0,0,0,0,0,0,0.9997797713233646,-0.013837706089756312,-0.015221476698731942,0.0041513118269268937,0,0,944,0,1315.1352595022684,1293.3999583630327,1338.6878850523099,1311.5573610025099,0,51.269427692454649,50.256728409378617,52.373074836337601,51.102342758231124
1144,1.1440000000000001,0.016601795753921206,-0.14553586692563655,-0.0070887251744272683,0.21823288329789159,-0.65902052690013402,1.5590114270036839,10.290841395306254,0.99980658436427117,-0.01245393548078068,-0.015221476698731942,0,1,0,0,0,0,0,0,0,0,0,0.9997797713233646,-0.013837706089756312,-0.015221476698731942,0.0041513118269268937,0,0,944,0,1317.156742080047,1291.6128972792712,1341.0196847401326,1308.9051200830743,0,51.363890364644575,50.173706893956918,52.482689538612362,50.978577022418747
1145,1.145,0.026207683578848506,-0.13943385103089831,-0.011121211819015264,0.57630863910196073,-0.55084613604679566,1.3990500092659133,10.366527298806727,0.99981520268899449,-0.0096863942628294189,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0069188530448781567,-0.0069188530448781567,0.0027675412179512626,0,0,944,0,1318.1442133261833,1308.1752573076733,1345.8963472388327,1305.8806227299453,0,51.410049018223525,50.944528904874382,52.712147664949526,50.837541937864913
1146,1.1460000000000001,0.022859215061406757,-0.13360459436583091,-0.015157642065639576,0.35433389962942247,-0.45334389937834391,1.2387209730330757,10.366527298806727,0.99981520268899449,-0.0096863942628294189,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0069188530448781567,-0.0069188530448781567,0.0027675412179512626,0,0,944,0,1316.0981038712687,1311.3178486345996,1343.3631675426668,1307.3999121226036,0,51.314401152814327,51.091146873636809,52.592912444354646,50.908366294231875
1147,1.147,0.03204672212977025,-0.12690234054239577,-0.013853831294882157,0.6983771004299395,-0.31488259065020902,1.3183343948484481,10.366527298806727,0.99981520268899449,-0.0096863942628294189,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0069188530448781567,-0.0069188530448781567,0.0027675412179512626,0,0,944,0,1318.4866787287788,1309.7080344807475,1342.580181458907,1307.4112008372815,0,51.426051160378179,51.016018258682486,52.556069294354465,50.908887394658663
1148,1.1480000000000001,0.025812522475579441,-0.1255153635283692,-0.0071755093113495538,0.35112424203044451,-0.41360513678077415,1.6394361172807246,10.366527298806727,0.99981520268899449,-0.0096863942628294189,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0069188530448781567,-0.0069188530448781567,0.0027675412179512626,0,0,944,0,1322.2360122922769,1306.2793184470354,1346.8009797538375,1302.7053543371781,0,51.601446026687363,50.856110778271749,52.754728061666668,50.6895819435249
1149,1.149,0.023459790474081893,-0.12044073530502505,-0.012126704235134761,0.18033941367894571,-0.34456555224305729,1.4374310315584642,10.366527298806727,0.99981520268899449,-0.0096863942628294189,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0069188530448781567,-0.0069188530448781567,0.0027675412179512626,0,0,944,0,1320.0010242282588,1309.8621360102379,1343.4187534153505,1304.86489068588,0,51.496864365138293,51.02319778021684,52.595511690758471,50.790182390702157
1150,1.1500000000000001,0.028227500517064436,-0.1188817228989302,-0.015384184837806764,0.33142701196720148,-0.4315394466290573,1.3114115579007373,10.366527298806727,0.99981520268899449,-0.0096863942628294189,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0069188530448781567,-0.0069188530448781567,0.0027675412179512626,0,0,944,0,1318.887935098039,1311.3012766562231,1340.8409642316587,1307.1942986490526,0,51.44479900711351,51.090352475617117,52.474252918337037,50.89875812994616
1151,1.151,0.032485650121198473,-0.12082862183981699,-0.01567190655397882,0.46105220916790224,-0.67396714045509176,1.3187601678391676,10.366527298806727,0.99981520268899449,-0.0096863942628294189,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0069188530448781567,-0.0069188530448781567,0.0027675412179512626,0,0,944,0,1318.8780898245113,1310.7441464360966,1340.6330324504845,1307.9760274395928,0,51.444333469557321,51.064345106281692,52.464470444623259,50.935206135032253
